#All the are expressed in picoFarad
#c1	c_equivalent	
30.9962	12.5081
64.6198	14.5018
20.8565	11.3683
7.49353	8.87158
25.5274	11.947
62.2509	14.41
25.079	11.8959
18.5128	11.0342
20.353	11.2993
89.5726	15.2443
2.79528	7.47891
51.2915	13.9138
42.1338	13.3803
62.194	14.4077
30.4477	12.4566
48.8417	13.7835
74.4627	14.8379
98.8382	15.4456
61.6416	14.3856
28.6472	12.2804
68.9914	14.6595
40.5816	13.2757
72.4089	14.7732
71.3256	14.738
16.1589	10.6629
12.6618	10.0318
65.298	14.5273
10.5253	9.58994
5.09003	8.20853
20.9682	11.3835
1.33897	6.95667
95.0969	15.3679
97.99	15.4284
66.3181	14.5648
9.97755	9.46864
7.42555	8.85406
7.79934	8.94955
5.08845	8.20806
28.3708	12.2523
81.7556	15.048
58.7987	14.2672
26.176	12.0195
27.0602	12.1155
83.7227	15.1
26.7603	12.0833
23.282	11.682
43.5405	13.4711
57.051	14.1905
18.3642	11.0119
44.7523	13.5465
27.7496	12.1883
7.49993	8.87322
16.7954	10.7671
32.8593	12.6762
74.915	14.8518
52.3873	13.9695
65.0204	14.5169
90.6297	15.2688
17.7552	10.9188
10.4007	9.56265
4.79212	8.11958
90.3634	15.2627
43.2936	13.4554
90.1236	15.2571
59.3889	14.2924
3.54751	7.72978
54.9355	14.0933
64.472	14.4962
45.7486	13.6067
36.3002	12.9611
13.3781	10.1698
95.0294	15.3665
32.7651	12.668
55.6804	14.1281
95.2991	15.3722
51.2835	13.9134
43.5227	13.47
15.2127	10.5022
57.3474	14.2038
35.2671	12.8789
19.2467	11.1424
81.8855	15.0515
99.9054	15.4669
47.0735	13.6842
64.6582	14.5033
37.9254	13.0854
68.7002	14.6494
57.7531	14.2217
34.3386	12.8026
2.5373	7.39003
56.8948	14.1835
35.1463	12.8691
84.9262	15.1309
21.0622	11.3961
46.7394	13.6649
66.6498	14.5769
83.2876	15.0886
21.3047	11.4286
61.0029	14.3597
4.76894	8.11259
30.5973	12.4707
85.7282	15.1511
46.8195	13.6696
99.1063	15.451
33.577	12.7383
13.249	10.1453
7.45409	8.86142
77.5307	14.9298
68.438	14.6403
38.7691	13.1475
36.715	12.9934
57.0892	14.1922
10.491	9.58245
26.8003	12.0876
96.8444	15.4048
74.2278	14.8306
78.5478	14.9591
60.8627	14.3539
43.023	13.4381
56.6985	14.1747
29.0366	12.3194
41.6598	13.3488
95.4743	15.376
86.1472	15.1616
81.5745	15.0431
51.1655	13.9073
13.5068	10.1941
83.0078	15.0813
15.5831	10.5659
21.1548	11.4086
51.4093	13.9199
73.3109	14.8019
8.58202	9.14319
38.7872	13.1488
59.9743	14.3171
51.3039	13.9145
3.30876	7.65146
20.8893	11.3728
8.46274	9.11422
65.0537	14.5181
12.6102	10.0217
63.5855	14.4623
40.5204	13.2715
82.3221	15.0631
15.7892	10.6009
77.0366	14.9154
46.6595	13.6603
42.0253	13.3731
71.7654	14.7524
28.5959	12.2752
21.1733	11.4111
94.4532	15.3541
91.1272	15.2802
96.9364	15.4067
60.6257	14.3442
16.1366	10.6592
48.9399	13.7889
5.71689	8.39057
97.8123	15.4247
96.9151	15.4062
30.9057	12.4997
57.1732	14.196
68.9342	14.6575
55.3471	14.1126
19.0222	11.1096
53.9651	14.0471
49.1264	13.7991
80.3485	15.0096
63.6749	14.4658
98.875	15.4463
98.618	15.4411
98.258	15.4338
91.0263	15.2779
91.8101	15.2957
71.0756	14.7298
10.0398	9.4826
64.4486	14.4953
75.5605	14.8714
2.96263	7.53577
58.4684	14.253
39.5883	13.2063
6.69321	8.661
37.2747	13.0364
84.1433	15.1108
88.6528	15.2225
86.6398	15.1738
6.859	8.70541
37.8714	13.0813
98.0518	15.4296
57.8499	14.226
33.4694	12.7291
46.8116	13.6691
48.7127	13.7764
58.3345	14.2472
26.4259	12.0469
81.812	15.0495
95.069	15.3673
56.1448	14.1495
11.7633	9.85178
90.7713	15.2721
2.59737	7.41085
34.9668	12.8544
69.4908	14.6766
68.6346	14.6472
20.9314	11.3785
68.7894	14.6525
99.3168	15.4552
19.9972	11.2496
73.1049	14.7954
40.3209	13.2577
32.2403	12.6215
68.0556	14.627
17.2195	10.8349
83.7966	15.1019
83.4919	15.094
65.8822	14.5489
84.9116	15.1305
37.8412	13.0791
89.3017	15.2379
35.1061	12.8658
29.1825	12.3339
77.4935	14.9287
39.3133	13.1867
25.5708	11.9519
3.80148	7.8118
16.3855	10.7003
1.92847	7.17419
41.4339	13.3337
65.6635	14.5408
73.471	14.807
89.2066	15.2357
71.8071	14.7537
8.65229	9.16017
16.9525	10.7924
21.0662	11.3967
28.5496	12.2705
51.2563	13.912
91.4944	15.2886
24.4825	11.8265
91.1702	15.2812
46.8713	13.6726
48.9838	13.7913
70.3403	14.7053
7.32428	8.82784
82.2145	15.0603
61.3603	14.3742
85.7556	15.1518
42.1513	13.3814
45.5924	13.5974
78.4711	14.9569
66.5165	14.572
56.9982	14.1882
30.261	12.4388
63.461	14.4575
14.6265	10.3991
10.0851	9.49274
95.8692	15.3843
27.9519	12.2093
67.0693	14.592
50.9479	13.896
85.7816	15.1524
24.1582	11.7881
33.0388	12.6919
39.7773	13.2196
45.6205	13.5991
4.98802	8.17825
1.23907	6.91894
82.0623	15.0562
48.5071	13.7651
14.4943	10.3754
8.8876	9.21656
36.3794	12.9673
95.1587	15.3692
66.1768	14.5597
86.5513	15.1716
90.7119	15.2707
74.0805	14.826
24.9109	11.8765
22.6445	11.6025
71.1069	14.7308
35.0099	12.858
15.719	10.589
8.14543	9.03621
82.6376	15.0715
15.0507	10.474
97.2732	15.4137
55.4502	14.1174
88.4393	15.2174
97.1201	15.4105
42.0804	13.3767
61.7799	14.3912
57.133	14.1942
82.7594	15.0747
93.2449	15.3277
73.4305	14.8057
1.05525	6.84883
29.2618	12.3418
96.5853	15.3994
25.342	11.926
59.8734	14.3129
60.6173	14.3438
87.9919	15.2067
64.2986	14.4897
58.9503	14.2737
72.4931	14.7759
33.019	12.6902
49.5282	13.8209
48.3324	13.7554
53.0339	14.0017
87.9559	15.2058
34.4925	12.8154
49.2198	13.8042
72.8192	14.7863
13.3443	10.1634
97.1571	15.4113
85.9227	15.156
31.8195	12.5837
5.07786	8.20493
31.0193	12.5103
50.7616	13.8863
72.6148	14.7798
59.4428	14.2947
32.3577	12.632
44.2327	13.5145
83.388	15.0912
12.1128	9.92278
32.0474	12.6043
86.5954	15.1727
37.1079	13.0236
79.134	14.9757
61.8468	14.3939
72.6313	14.7803
48.5811	13.7692
53.2551	14.0126
94.3722	15.3523
95.877	15.3845
29.2391	12.3395
50.6735	13.8817
26.2237	12.0248
5.28015	8.26447
19.762	11.2164
41.7712	13.3563
11.481	9.79352
57.3967	14.2059
18.3295	11.0066
11.8988	9.87946
98.9025	15.4469
7.09039	8.7667
79.0849	14.9744
47.9788	13.7357
43.8613	13.4913
86.7091	15.1755
48.5829	13.7693
95.0678	15.3673
56.6994	14.1747
65.0376	14.5175
63.3562	14.4534
29.7286	12.3875
64.3478	14.4915
90.3468	15.2623
85.6846	15.15
38.9534	13.1608
78.5132	14.9581
61.6092	14.3843
98.4999	15.4387
76.8328	14.9094
12.1883	9.93796
1.74666	7.10802
96.1079	15.3894
70.7787	14.7199
13.8315	10.2546
28.2557	12.2406
