#All the are expressed in picoFarad
#c1	c_equivalent	
40.9754	14.3642
10.4659	10.1151
36.9557	14.0259
88.1168	16.6135
78.3968	16.3099
98.0985	16.8774
24.3309	12.6377
41.6761	14.4193
95.9843	16.825
8.02735	9.48126
42.0704	14.4499
79.5625	16.3491
48.8349	14.9261
71.8693	16.0734
15.0965	11.1301
15.4576	11.2006
91.1504	16.6983
1.7215	7.39026
65.1765	15.7973
5.07988	8.59745
56.5619	15.379
88.5019	16.6245
6.91176	9.16334
7.2804	9.2705
21.1851	12.1852
85.4172	16.5343
28.1202	13.1177
5.3855	8.69593
13.8114	10.87
72.7037	16.1053
88.4947	16.6243
11.826	10.4366
36.1375	13.952
43.051	14.5244
28.4296	13.1542
39.4146	14.2375
28.6205	13.1764
57.3107	15.4187
12.1986	10.521
11.9293	10.4601
39.9063	14.2781
38.3282	14.1459
44.1518	14.6057
2.36411	7.64063
33.422	13.693
44.2408	14.6121
16.0919	11.3217
48.7511	14.9207
2.51495	7.69797
8.20311	9.52965
28.2216	13.1297
46.3336	14.7598
71.766	16.0694
17.7043	11.615
31.8378	13.5315
54.5888	15.2712
19.0785	11.8498
29.2458	13.2485
86.7424	16.5737
75.0487	16.1922
75.3867	16.2045
9.90251	9.97557
87.3755	16.5921
21.7564	12.2715
6.09517	8.91818
17.6267	11.6014
17.8491	11.6404
26.9399	12.975
13.699	10.8465
33.6838	13.719
60.2027	15.5655
69.6143	15.9845
59.5144	15.5314
21.1416	12.1786
82.0381	16.4298
69.6615	15.9864
79.9599	16.3623
67.232	15.8861
6.15222	8.93567
1.95465	7.48226
40.1337	14.2966
76.7173	16.2518
16.1076	11.3246
51.6776	15.1027
17.1456	11.5156
3.4279	8.03395
62.3612	15.6692
96.9895	16.8501
17.615	11.5993
5.13902	8.61664
20.9097	12.1429
67.1285	15.8817
20.3127	12.0497
76.1081	16.2303
75.2378	16.1991
61.6114	15.6337
27.9829	13.1014
34.0155	13.7515
95.0796	16.802
52.0664	15.1259
22.0583	12.3163
86.6322	16.5704
98.7939	16.8943
19.6338	11.941
82.808	16.4542
63.1907	15.7077
32.4832	13.5983
38.9019	14.1946
4.22134	8.31139
28.9954	13.2198
95.1269	16.8032
59.1196	15.5116
35.6437	13.9065
46.4606	14.7685
60.7691	15.5932
91.636	16.7115
5.60065	8.76425
99.0325	16.9
7.13266	9.22781
63.1714	15.7068
32.9717	13.6479
36.725	14.0052
9.94081	9.98518
37.7953	14.0999
40.4425	14.3216
38.2949	14.143
52.8403	15.1714
96.5276	16.8386
13.9591	10.9006
14.4964	11.0105
4.33332	8.34951
74.1783	16.1604
95.6715	16.8171
81.0002	16.3964
27.8655	13.0874
60.8573	15.5975
83.4734	16.4749
4.81867	8.51191
37.3157	14.0578
72.7294	16.1063
70.0867	16.0035
77.7896	16.2891
16.7934	11.4518
92.7671	16.7418
37.3363	14.0597
7.1701	9.23866
77.805	16.2896
21.9903	12.3063
27.726	13.0707
49.7141	14.9821
83.1957	16.4663
93.7701	16.7682
35.0925	13.8549
39.7983	14.2692
53.038	15.1829
38.7152	14.1789
90.7047	16.6861
79.8839	16.3598
43.4527	14.5543
52.2314	15.1357
43.6749	14.5707
22.1549	12.3305
32.5928	13.6095
7.49964	9.33323
88.2332	16.6169
1.51917	7.30931
83.1343	16.4644
89.6819	16.6578
72.6761	16.1043
76.3162	16.2376
30.8684	13.4284
48.368	14.8959
39.7269	14.2633
89.2625	16.6461
30.4363	13.3815
33.9162	13.7418
82.6099	16.4479
72.0846	16.0817
41.1047	14.3745
59.1767	15.5145
69.831	15.9932
59.1578	15.5136
80.9086	16.3934
86.2228	16.5583
39.3167	14.2294
74.2824	16.1643
89.7322	16.6592
58.4739	15.4789
8.68739	9.66071
12.4098	10.5682
79.252	16.3387
31.8673	13.5345
